,Canna,Zeus,Cuzz,Ellim,Oner,Clozer,Faker,Gumayusi,Teddy,Keria,Burdol,Rascal,Clid,Flawless,Bdd,Karis,Ruler,Life,Doran,Blank,Bonnie,Dove,Ucal,HyBriD,Zzus,Kiin,Dread,Fly,Keine,Bang,Lehends,Rich,Juhan,Peanut,Bay,deokdam,Wayne,Kellin,Summit,Croco,OnFleek,FATE,Leo,Route,Effort,DuDu,Morgan,Arthur,yoHan,Chovy,Deft,Vsta,Hoya,Chieftain,UmTi,Lava,Hena,Delight,Chasy,Khan,Canyon,ShowMaker,Ghost,BeryL,Destroy,Kingen,Pyosik,SOLKA,BAO,Becca
T1,Top Laner,Top Laner,Jungler,Jungler,Jungler,Mid Laner,Mid Laner,Bot Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen.G,,,,,,,,,,,Top Laner,Top Laner,Jungler,Jungler,Mid Laner,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT_Rolster,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Jungler,Mid Laner,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afreeca_Freecs,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Mid Laner,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nongshim_RedForce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Jungler,Mid Laner,Bot Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liiv_SANDBOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Jungler (+) (â€“)  Inactive,Mid Laner,Bot Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwha_Life_Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Top Laner,Jungler,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,,,,,,,
Fredit_BRION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Jungler,Jungler,Mid Laner,Bot Laner,Support,,,,,,,,,,,,
DWG_KIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Top Laner,Jungler,Mid Laner,Bot Laner,Support,,,,,,
DRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Laner,Top Laner,Jungler,Mid Laner,Bot Laner,Support
